ID,SMILES_chiral,SMILES_no_chiral,Target_1,pIC50_1,Target_category,Dataset,pEC50,Target_2,pIC50_2
CHEMBL401117,FC(F)(F)Oc1cc2SC(=Nc3c(F)cc(-c4ccc(C(=O)C5C(C(=O)O)CCC5)cc4)cc3)Nc2cc1,FC(F)(F)Oc1cc2SC(=Nc3c(F)cc(-c4ccc(C(=O)C5C(C(=O)O)CCC5)cc4)cc3)Nc2cc1,Diacylglycerol acyltransferase (DGAT),7.1366773,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL255036,O=C(Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1)Nc1ccccc1,O=C(Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1)Nc1ccccc1,Diacylglycerol acyltransferase (DGAT),7.0087738,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL254824,O=C(Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1)Nc1ccccc1,O=C(Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1)Nc1ccccc1,Diacylglycerol acyltransferase (DGAT),7.0177288,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL402926,O=C(Nc1cc2OCOc2cc1)Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1,O=C(Nc1cc2OCOc2cc1)Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1,Diacylglycerol acyltransferase (DGAT),8.1549015,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL402721,FC(F)(F)c1ccc(NC(=O)Nc2ccc(-c3ccc(C(=O)C4C(C(=O)O)CCC4)cc3)cc2)cc1,FC(F)(F)c1ccc(NC(=O)Nc2ccc(-c3ccc(C(=O)C4C(C(=O)O)CCC4)cc3)cc2)cc1,Diacylglycerol acyltransferase (DGAT),8.0457573,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL254871,O=C(Nc1ccc(C#N)cc1)Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1,O=C(Nc1ccc(C#N)cc1)Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1,Diacylglycerol acyltransferase (DGAT),7.4559321,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL254870,Fc1c(NC(=O)Nc2ccc(OC)cc2)ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)c1,Fc1c(NC(=O)Nc2ccc(OC)cc2)ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)c1,Diacylglycerol acyltransferase (DGAT),8.0457573,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL253610,O=C(Nc1cc(C(=O)NC)ccc1)Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1,O=C(Nc1cc(C(=O)NC)ccc1)Nc1ccc(-c2ccc(C(=O)C3C(C(=O)O)CCC3)cc2)cc1,Diacylglycerol acyltransferase (DGAT),6.0026135,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL254865,FC(F)(F)c1cc(NC(=O)Nc2ccc(-c3ccc(C(=O)C4C(C(=O)O)CCC4)cc3)cc2)c(F)cc1,FC(F)(F)c1cc(NC(=O)Nc2ccc(-c3ccc(C(=O)C4C(C(=O)O)CCC4)cc3)cc2)c(F)cc1,Diacylglycerol acyltransferase (DGAT),8.3010302,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL404419,Clc1cc(NC(=O)Nc2ccc(-c3ccc(C(=O)C4C(C(=O)O)CCC4)cc3)cc2)ccc1,Clc1cc(NC(=O)Nc2ccc(-c3ccc(C(=O)C4C(C(=O)O)CCC4)cc3)cc2)ccc1,Diacylglycerol acyltransferase (DGAT),8.2218485,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
CHEMBL254658,Fc1cc(NC(=O)Nc2ccc(-c3ccc(C(=O)C4C(C(=O)O)CCC4)cc3)cc2)ccc1,Fc1cc(NC(=O)Nc2ccc(-c3ccc(C(=O)C4C(C(=O)O)CCC4)cc3)cc2)ccc1,Diacylglycerol acyltransferase (DGAT),7.9586072,Diacylglycerol acyltransferase (DGAT),ChEMBL,,,
