fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy,database,legend
CCC,*C(C)C,55,1.4080901177675371,44.062600256,1.4163,0,0,3,DiaNat-DB,DiaNat-DB = 55 (1.41%)
Oc1ccccc1,*c1ccc(O)cc1,41,1.0496671786994367,94.041864812,1.3922,1,1,7,DiaNat-DB,DiaNat-DB = 41 (1.05%)
CC=O,*CC(*)=O,27,0.6912442396313364,44.026214748,0.2052,1,0,3,DiaNat-DB,DiaNat-DB = 27 (0.69%)
O=CC1CCCN1,*C(=O)C1CCCN1*,24,0.6144393241167435,99.068413908,-0.0626999999999999,2,1,7,DiaNat-DB,DiaNat-DB = 24 (0.61%)
Cc1ccc(O)cc1,*Cc1ccc(O)cc1,24,0.6144393241167435,108.057514876,1.7006199999999998,1,1,8,DiaNat-DB,DiaNat-DB = 24 (0.61%)
Oc1ccccc1O,*c1ccc(O)c(O)c1,23,0.5888376856118792,110.036779432,1.0978,2,2,8,DiaNat-DB,DiaNat-DB = 23 (0.59%)
CC=O,*C(C)=O,22,0.5632360471070148,44.026214748,0.2052,1,0,3,DiaNat-DB,DiaNat-DB = 22 (0.56%)
CO,*OC,21,0.5376344086021506,32.026214748,-0.3915,1,1,2,DiaNat-DB,DiaNat-DB = 21 (0.54%)
O=C(O)C1CCCN1,*N1CCCC1C(=O)O,16,0.409626216077829,115.063328528,-0.177,2,2,8,DiaNat-DB,DiaNat-DB = 16 (0.41%)
Cc1ccc(O)c(O)c1,*Cc1ccc(O)c(O)c1,16,0.409626216077829,124.052429496,1.4062199999999996,2,2,9,DiaNat-DB,DiaNat-DB = 16 (0.41%)
c1ccccc1,*c1ccccc1,13,0.332821300563236,78.046950192,1.6866,0,0,6,DiaNat-DB,DiaNat-DB = 13 (0.33%)
Cc1ccccc1,*Cc1ccccc1,10,0.2560163850486431,92.062600256,1.99502,0,0,7,DiaNat-DB,DiaNat-DB = 10 (0.26%)
Oc1cccc(O)c1O,*c1cc(O)c(O)c(O)c1,8,0.2048131080389145,126.031694052,0.8033999999999997,3,3,9,DiaNat-DB,DiaNat-DB = 8 (0.20%)
Oc1cccc(O)c1,*c1ccc(O)cc1O,8,0.2048131080389145,110.036779432,1.0978,2,2,8,DiaNat-DB,DiaNat-DB = 8 (0.20%)
COc1ccccc1,*c1ccc(OC)cc1,8,0.2048131080389145,108.057514876,1.6952,1,0,8,DiaNat-DB,DiaNat-DB = 8 (0.20%)
O=c1ccoc2cccc(O)c12,*c1cc(O)c2c(=O)cc(*)oc2c1,6,0.1536098310291858,162.031694052,1.4986,3,1,12,DiaNat-DB,DiaNat-DB = 6 (0.15%)
CC(C)CC(N)C=O,*NC(CC(C)C)C(*)=O,6,0.1536098310291858,115.099714036,0.5587000000000001,2,1,8,DiaNat-DB,DiaNat-DB = 6 (0.15%)
CC(N)C=O,*NC(C)C(*)=O,6,0.1536098310291858,73.052763844,-0.4675,2,1,5,DiaNat-DB,DiaNat-DB = 6 (0.15%)
COc1cc(C)ccc1O,*Cc1ccc(O)c(OC)c1,6,0.1536098310291858,138.06807956,1.70922,2,1,10,DiaNat-DB,DiaNat-DB = 6 (0.15%)
CCCCC,*CCCC(*)C,6,0.1536098310291858,72.093900384,2.1965000000000003,0,0,5,DiaNat-DB,DiaNat-DB = 6 (0.15%)
NCC=O,*NCC(*)=O,6,0.1536098310291858,59.03711378,-0.8560000000000001,2,1,4,DiaNat-DB,DiaNat-DB = 6 (0.15%)
O=C/C=C/c1ccc(O)c(O)c1,*C(=O)/C=C/c1ccc(O)c(O)c1,5,0.1280081925243215,164.047344116,1.3098999999999998,3,2,12,DiaNat-DB,DiaNat-DB = 5 (0.13%)
Cc1ccc2c(c1)OCO2,*Cc1ccc2c(c1)OCO2,5,0.1280081925243215,136.052429496,1.72372,2,0,10,DiaNat-DB,DiaNat-DB = 5 (0.13%)
COc1ccccc1O,*c1ccc(O)c(OC)c1,5,0.1280081925243215,124.052429496,1.4008,2,1,9,DiaNat-DB,DiaNat-DB = 5 (0.13%)
NC(Cc1ccccc1)C(=O)O,*NC(Cc1ccccc1)C(=O)O,5,0.1280081925243215,165.078978592,0.641,2,2,12,DiaNat-DB,DiaNat-DB = 5 (0.13%)
NC(C=O)Cc1ccccc1,*NC(Cc1ccccc1)C(*)=O,5,0.1280081925243215,149.084063972,0.7552999999999994,2,1,11,DiaNat-DB,DiaNat-DB = 5 (0.13%)
COc1ccccc1O,*c1ccc(OC)c(O)c1,5,0.1280081925243215,124.052429496,1.4008,2,1,9,DiaNat-DB,DiaNat-DB = 5 (0.13%)
O=c1ccoc2cc(O)ccc12,*c1coc2cc(O)ccc2c1=O,5,0.1280081925243215,162.031694052,1.4986,3,1,12,DiaNat-DB,DiaNat-DB = 5 (0.13%)
CCc1c(C)cc(O)cc1O,*CCc1c(O)cc(O)cc1C*,5,0.1280081925243215,152.083729624,1.96862,2,2,11,DiaNat-DB,DiaNat-DB = 5 (0.13%)
O=C/C=C/c1ccccc1,*C(=O)/C=C/c1ccccc1,5,0.1280081925243215,132.057514876,1.8987,1,0,10,DiaNat-DB,DiaNat-DB = 5 (0.13%)
Cc1ccc(O)cc1O,*Cc1ccc(O)cc1O,5,0.1280081925243215,124.052429496,1.4062199999999998,2,2,9,DiaNat-DB,DiaNat-DB = 5 (0.13%)
NCCCCC(N)C=O,*C(=O)C(N)CCCCN,5,0.1280081925243215,130.110613068,-0.3583999999999995,3,2,9,DiaNat-DB,DiaNat-DB = 5 (0.13%)
CCc1c(O)cc(C)cc1O,*CCc1c(O)cc(C*)cc1O,5,0.1280081925243215,152.083729624,1.96862,2,2,11,DiaNat-DB,DiaNat-DB = 5 (0.13%)
CCC(O)C(C)/C=C(\\C)C=O,*C(C)C(O)C(C)/C=C(\C)C=O,4,0.1024065540194572,156.115029752,1.5386,2,1,11,DiaNat-DB,DiaNat-DB = 4 (0.10%)
Oc1cc(O)c2cc(O)c[o+]c2c1,*c1[o+]c2cc(O)cc(O)c2cc1O,4,0.1024065540194572,179.03388512409,1.8307,3,3,13,DiaNat-DB,DiaNat-DB = 4 (0.10%)
CCC(O)C(C)/C=C(\\C)C(O)C(C)/C=C(\\C)C=O,*C(C)C(O)C(C)/C=C(\C)C(O)C(C)/C=C(\C)C=O,4,0.1024065540194572,254.188194692,2.4819000000000004,3,2,18,DiaNat-DB,DiaNat-DB = 4 (0.10%)
CCC(O)C(C)/C=C(\\C)C(O)C(C)C,*CC(C)C(O)/C(C)=C/C(C)C(O)C(*)C,4,0.1024065540194572,200.177630008,2.3566000000000003,2,2,14,DiaNat-DB,DiaNat-DB = 4 (0.10%)
