fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy
O,*O,105,2.6881720430107525,18.010564684,-0.8247,0,0,1
CCC,*C(C)C,55,1.4080901177675371,44.062600255999996,1.4163,0,0,3
OC[C@]1O[CH][C@@](O)[C@](O)[C@@]1O,*[C@]1O[C@@](CO)[C@](O)[C@@](O)[C@]1O,41,1.0496671786994367,159.029348324,-0.58385,5,4,11
Oc1ccccc1,*c1ccc(O)cc1,41,1.0496671786994367,94.041864812,1.3921999999999999,1,1,7
CC=O,*CC(*)=O,27,0.6912442396313364,44.026214748,0.2052,1,0,3
O=CC1CCCN1,*C(=O)C1CCCN1*,24,0.6144393241167435,99.068413908,-0.06269999999999992,2,1,7
Cc1ccc(O)cc1,*Cc1ccc(O)cc1,24,0.6144393241167435,108.057514876,1.7006199999999998,1,1,8
Oc1ccccc1O,*c1ccc(O)c(O)c1,23,0.5888376856118792,110.036779432,1.0977999999999999,2,2,8
CC=O,*C(C)=O,22,0.5632360471070148,44.026214748,0.2052,1,0,3
CO,*OC,21,0.5376344086021506,32.026214748,-0.3915,1,1,2
O=c1c(O)coc2cc(O)cc(O)c12,*c1oc2cc(O)cc(O)c2c(=O)c1O,21,0.5376344086021506,194.021523292,0.9097999999999999,5,3,14
O=c1ccoc2cc(O)cc(O)c12,*c1cc(=O)c2c(O)cc(O)cc2o1,16,0.409626216077829,178.026608672,1.2042,4,2,13
O=C(O)C1CCCN1,*N1CCCC1C(=O)O,16,0.409626216077829,115.063328528,-0.177,2,2,8
Cc1ccc(O)c(O)c1,*Cc1ccc(O)c(O)c1,16,0.409626216077829,124.052429496,1.4062199999999996,2,2,9
O=c1ccoc2cc(O)cc(O)c12,*c1oc2cc(O)cc(O)c2c(=O)c1*,14,0.35842293906810035,178.026608672,1.2042,4,2,13
C[C@]1O[CH][C@](O)[C@](O)[C@@]1O,*[C@]1O[C@](C)[C@@](O)[C@](O)[C@]1O,13,0.33282130056323606,143.034433704,0.44375,4,3,10
c1ccccc1,*c1ccccc1,13,0.33282130056323606,78.046950192,1.6866,0,0,6
O=Cc1cc(O)c(O)c(O)c1,*C(=O)c1cc(O)c(O)c(O)c1,12,0.30721966205837176,154.026608672,0.6158999999999999,4,3,11
Cc1ccccc1,*Cc1ccccc1,10,0.2560163850486431,92.062600256,1.99502,0,0,7
Oc1cccc(O)c1O,*c1cc(O)c(O)c(O)c1,8,0.2048131080389145,126.031694052,0.8033999999999997,3,3,9
Oc1cccc(O)c1,*c1ccc(O)cc1O,8,0.2048131080389145,110.036779432,1.0977999999999999,2,2,8
COc1ccccc1,*c1ccc(OC)cc1,8,0.2048131080389145,108.057514876,1.6952,1,0,8
C[C@]1O[CH][C@@](O)[C@](O)[C@@]1O,*C[C@]1O[C@@](*)[C@@](O)[C@](O)[C@@]1O,7,0.17921146953405018,143.034433704,0.44375,4,3,10
O=c1ccoc2cccc(O)c12,*c1cc(O)c2c(=O)cc(*)oc2c1,6,0.15360983102918588,162.031694052,1.4986,3,1,12
CC(C)CC(N)C=O,*NC(CC(C)C)C(*)=O,6,0.15360983102918588,115.099714036,0.5587000000000001,2,1,8
CC(N)C=O,*NC(C)C(*)=O,6,0.15360983102918588,73.052763844,-0.4675,2,1,5
COc1cc(C)ccc1O,*Cc1ccc(O)c(OC)c1,6,0.15360983102918588,138.06807956,1.70922,2,1,10
